=== Статистика парсера референсных геномов прокариот (NCBI Datasets) ===

Общее число FASTA файлов: 250
Количество фенотипов (организмов/видов): 242

--- Количество геномов по фенотипам (организмам) ---

  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI78'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'H2.185'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'IMT2125'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'MI10-01'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'PMK-5'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'S5274'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'S6400'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'S6662'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'S6966'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'S6995'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'S7005'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'S7380'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'S7438'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'SCB34'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA03'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA03_pb'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA17'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA17_pb'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA23'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA23_pb'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA62'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA65'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA65_pb'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA69'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'UCD_JA69_pb'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'W25K'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '1157-74'}}: 1
